gene,feature,nn_fold_0,nn_fold_1,nn_fold_2,nn_fold_3,nn_fold_4
A1BG,mut,,,,,
A1BG,cnv,,,,,
A1CF,mut,,,,,
A1CF,cnv,,,,,
A2M,mut,,,,,
A2M,cnv,,,,,
A2ML1,mut,,,,,
A2ML1,cnv,,,,,
A2MP1,mut,,,,,
A2MP1,cnv,,,,,
A3GALT2,mut,,,,,
A3GALT2,cnv,,,,,
A4GALT,mut,,,,,
A4GALT,cnv,,,,,
A4GNT,mut,,,,,
A4GNT,cnv,,,,,
AAAS,mut,,,,,
AAAS,cnv,,,,,
AACS,mut,,,,,
AACS,cnv,,,,,
AACSP1,mut,,,,,
AACSP1,cnv,,,,,
AADAC,mut,,,,,
AADAC,cnv,,,,,
AADACL2,mut,,,,,
AADACL2,cnv,,,,,
AADACL3,mut,,,,,
AADACL3,cnv,,,,,
AADACL4,mut,,,,,
AADACL4,cnv,,,,,
AADAT,mut,,,,,
AADAT,cnv,,,,,
AAED1,mut,,,,,
AAED1,cnv,,,,,
AAGAB,mut,,,,,
AAGAB,cnv,,,,,
AAK1,mut,,,,,
AAK1,cnv,,,,,
AAMDC,mut,,,,,
AAMDC,cnv,,,,,
AAMP,mut,,,,,
AAMP,cnv,,,,,
AANAT,mut,,,,,
AANAT,cnv,,,,,
AAR2,mut,,,,,
AAR2,cnv,,,,,
AARD,mut,,,,,
AARD,cnv,,,,,
AARS,mut,,,,,
AARS,cnv,,,,,
AARS2,mut,,,,,
AARS2,cnv,,,,,
AARSD1,mut,,,,,
AARSD1,cnv,,,,,
AASDH,mut,,,,,
AASDH,cnv,,,,,
AASDHPPT,mut,,,,,
AASDHPPT,cnv,,,,,
AASS,mut,,,,,
AASS,cnv,,,,,
AATF,mut,,,,,
AATF,cnv,,,,,
AATK,mut,,,,,
AATK,cnv,,,,,
ABAT,mut,,,,,
ABAT,cnv,,,,,
ABCA1,mut,,,,,
ABCA1,cnv,,,,,
ABCA10,mut,,,,,
ABCA10,cnv,,,,,
ABCA11P,mut,,,,,
ABCA11P,cnv,,,,,
ABCA12,mut,,,,,
ABCA12,cnv,,,,,
ABCA13,mut,,,,,
ABCA13,cnv,,,,,
ABCA17P,mut,,,,,
ABCA17P,cnv,,,,,
ABCA2,mut,,,,,
ABCA2,cnv,,,,,
ABCA3,mut,,,,,
ABCA3,cnv,,,,,
ABCA4,mut,,,,,
ABCA4,cnv,,,,,
ABCA5,mut,,,,,
ABCA5,cnv,,,,,
ABCA6,mut,,,,,
ABCA6,cnv,,,,,
ABCA7,mut,,,,,
ABCA7,cnv,,,,,
ABCA8,mut,,,,,
ABCA8,cnv,,,,,
ABCA9,mut,,,,,
ABCA9,cnv,,,,,
ABCB1,mut,,,,,
ABCB1,cnv,,,,,
ABCB10,mut,,,,,
ABCB10,cnv,,,,,
ABCB11,mut,,,,,
ABCB11,cnv,,,,,
ABCB4,mut,,,,,
ABCB4,cnv,,,,,
ABCB5,mut,,,,,
ABCB5,cnv,,,,,
ABCB6,mut,,,,,
ABCB6,cnv,,,,,
ABCB7,mut,,,,,
ABCB7,cnv,,,,,
ABCB8,mut,,,,,
ABCB8,cnv,,,,,
ABCB9,mut,,,,,
ABCB9,cnv,,,,,
ABCC1,mut,,,,,
ABCC1,cnv,,,,,
ABCC10,mut,,,,,
ABCC10,cnv,,,,,
ABCC11,mut,,,,,
ABCC11,cnv,,,,,
ABCC12,mut,,,,,
ABCC12,cnv,,,,,
ABCC13,mut,,,,,
ABCC13,cnv,,,,,
ABCC2,mut,,,,,
ABCC2,cnv,,,,,
ABCC3,mut,,,,,
ABCC3,cnv,,,,,
ABCC4,mut,,,,,
ABCC4,cnv,,,,,
ABCC5,mut,,,,,
ABCC5,cnv,,,,,
ABCC6,mut,,,,,
ABCC6,cnv,,,,,
ABCC6P1,mut,,,,,
ABCC6P1,cnv,,,,,
ABCC8,mut,,,,,
ABCC8,cnv,,,,,
ABCC9,mut,,,,,
ABCC9,cnv,,,,,
ABCD1,mut,,,,,
ABCD1,cnv,,,,,
ABCD2,mut,,,,,
ABCD2,cnv,,,,,
ABCD3,mut,,,,,
ABCD3,cnv,,,,,
ABCD4,mut,,,,,
ABCD4,cnv,,,,,
ABCE1,mut,,,,,
ABCE1,cnv,,,,,
ABCF1,mut,,,,,
ABCF1,cnv,,,,,
ABCF2,mut,,,,,
ABCF2,cnv,,,,,
ABCF3,mut,,,,,
ABCF3,cnv,,,,,
ABCG1,mut,,,,,
ABCG1,cnv,,,,,
ABCG2,mut,,,,,
ABCG2,cnv,,,,,
ABCG4,mut,,,,,
ABCG4,cnv,,,,,
ABCG5,mut,,,,,
ABCG5,cnv,,,,,
ABCG8,mut,,,,,
ABCG8,cnv,,,,,
ABHD1,mut,,,,,
ABHD1,cnv,,,,,
ABHD10,mut,,,,,
ABHD10,cnv,,,,,
ABHD11,mut,,,,,
ABHD11,cnv,,,,,
ABHD12,mut,,,,,
ABHD12,cnv,,,,,
ABHD12B,mut,,,,,
ABHD12B,cnv,,,,,
ABHD13,mut,,,,,
ABHD13,cnv,,,,,
ABHD14A,mut,,,,,
ABHD14A,cnv,,,,,
ABHD14B,mut,,,,,
ABHD14B,cnv,,,,,
ABHD15,mut,,,,,
ABHD15,cnv,,,,,
ABHD16A,mut,,,,,
ABHD16A,cnv,,,,,
ABHD16B,mut,,,,,
ABHD16B,cnv,,,,,
ABHD17A,mut,,,,,
ABHD17A,cnv,,,,,
ABHD17B,mut,,,,,
ABHD17B,cnv,,,,,
ABHD17C,mut,,,,,
ABHD17C,cnv,,,,,
ABHD2,mut,,,,,
ABHD2,cnv,,,,,
ABHD3,mut,,,,,
ABHD3,cnv,,,,,
ABHD4,mut,,,,,
ABHD4,cnv,,,,,
ABHD5,mut,,,,,
ABHD5,cnv,,,,,
ABHD6,mut,,,,,
ABHD6,cnv,,,,,
ABHD8,mut,,,,,
ABHD8,cnv,,,,,
ABI1,mut,,,,,
ABI1,cnv,,,,,
ABI2,mut,,,,,
ABI2,cnv,,,,,
ABI3,mut,,,,,
ABI3,cnv,,,,,
ABI3BP,mut,,,,,
ABI3BP,cnv,,,,,
ABL1,mut,,,,,
ABL1,cnv,,,,,
ABL2,mut,,,,,
ABL2,cnv,,,,,
ABLIM1,mut,,,,,
ABLIM1,cnv,,,,,
ABLIM2,mut,,,,,
ABLIM2,cnv,,,,,
ABLIM3,mut,,,,,
ABLIM3,cnv,,,,,
ABO,mut,,,,,
ABO,cnv,,,,,
ABR,mut,,,,,
ABR,cnv,,,,,
ABRA,mut,,,,,
ABRA,cnv,,,,,
ABRACL,mut,,,,,
ABRACL,cnv,,,,,
ABT1,mut,,,,,
ABT1,cnv,,,,,
ABTB1,mut,,,,,
ABTB1,cnv,,,,,
ABTB2,mut,,,,,
ABTB2,cnv,,,,,
ACAA1,mut,,,,,
ACAA1,cnv,,,,,
ACAA2,mut,,,,,
ACAA2,cnv,,,,,
ACACA,mut,,,,,
ACACA,cnv,,,,,
ACACB,mut,,,,,
ACACB,cnv,,,,,
ACAD10,mut,,,,,
ACAD10,cnv,,,,,
ACAD11,mut,,,,,
ACAD11,cnv,,,,,
ACAD8,mut,,,,,
ACAD8,cnv,,,,,
ACAD9,mut,,,,,
ACAD9,cnv,,,,,
ACADL,mut,,,,,
ACADL,cnv,,,,,
ACADM,mut,,,,,
ACADM,cnv,,,,,
