gene,feature,nn_fold_0,nn_fold_1,nn_fold_2,nn_fold_3,nn_fold_4
1-Mar,mut,,,,,
1-Mar,cnv,,,,,
10-Sep,mut,,,,,
10-Sep,cnv,,,,,
11-Mar,mut,,,,,
11-Mar,cnv,,,,,
11-Sep,mut,,,,,
11-Sep,cnv,,,,,
14-Sep,mut,,,,,
14-Sep,cnv,,,,,
4-Mar,mut,,,,,
4-Mar,cnv,,,,,
5-Mar,mut,,,,,
5-Mar,cnv,,,,,
6-Mar,mut,,,,,
6-Mar,cnv,,,,,
7-Mar,mut,,,,,
7-Mar,cnv,,,,,
7-Sep,mut,,,,,
7-Sep,cnv,,,,,
8-Sep,mut,,,,,
8-Sep,cnv,,,,,
A1CF,mut,,,,,
A1CF,cnv,,,,,
A4GNT,mut,,,,,
A4GNT,cnv,,,,,
AADAC,mut,,,,,
AADAC,cnv,,,,,
AADACL3,mut,,,,,
AADACL3,cnv,,,,,
AADACL4,mut,,,,,
AADACL4,cnv,,,,,
AADAT,mut,,,,,
AADAT,cnv,,,,,
AAK1,mut,,,,,
AAK1,cnv,,,,,
AAMP,mut,,,,,
AAMP,cnv,,,,,
AARS2,mut,,,,,
AARS2,cnv,,,,,
AASDH,mut,,,,,
AASDH,cnv,,,,,
AASS,mut,,,,,
AASS,cnv,,,,,
ABCA1,mut,,,,,
ABCA1,cnv,,,,,
ABCA12,mut,,,,,
ABCA12,cnv,,,,,
ABCA13,mut,,,,,
ABCA13,cnv,,,,,
ABCA2,mut,,,,,
ABCA2,cnv,,,,,
ABCA4,mut,,,,,
ABCA4,cnv,,,,,
ABCB1,mut,,,,,
ABCB1,cnv,,,,,
ABCB10,mut,,,,,
ABCB10,cnv,,,,,
ABCB11,mut,,,,,
ABCB11,cnv,,,,,
ABCB4,mut,,,,,
ABCB4,cnv,,,,,
ABCB5,mut,,,,,
ABCB5,cnv,,,,,
ABCB6,mut,,,,,
ABCB6,cnv,,,,,
ABCB8,mut,,,,,
ABCB8,cnv,,,,,
ABCC10,mut,,,,,
ABCC10,cnv,,,,,
ABCC2,mut,,,,,
ABCC2,cnv,,,,,
ABCC5,mut,,,,,
ABCC5,cnv,,,,,
ABCC8,mut,,,,,
ABCC8,cnv,,,,,
ABCD3,mut,,,,,
ABCD3,cnv,,,,,
ABCE1,mut,,,,,
ABCE1,cnv,,,,,
ABCF1,mut,,,,,
ABCF1,cnv,,,,,
ABCF2,mut,,,,,
ABCF2,cnv,,,,,
ABCF3,mut,,,,,
ABCF3,cnv,,,,,
ABCG2,mut,,,,,
ABCG2,cnv,,,,,
ABCG4,mut,,,,,
ABCG4,cnv,,,,,
ABCG5,mut,,,,,
ABCG5,cnv,,,,,
ABCG8,mut,,,,,
ABCG8,cnv,,,,,
ABHD1,mut,,,,,
ABHD1,cnv,,,,,
ABHD10,mut,,,,,
ABHD10,cnv,,,,,
ABHD11,mut,,,,,
ABHD11,cnv,,,,,
ABHD14A,mut,,,,,
ABHD14A,cnv,,,,,
ABHD14B,mut,,,,,
ABHD14B,cnv,,,,,
ABHD5,mut,,,,,
ABHD5,cnv,,,,,
ABHD6,mut,,,,,
ABHD6,cnv,,,,,
ABI1,mut,,,,,
ABI1,cnv,,,,,
ABI2,mut,,,,,
ABI2,cnv,,,,,
ABI3BP,mut,,,,,
ABI3BP,cnv,,,,,
ABL1,mut,,,,,
ABL1,cnv,,,,,
ABL2,mut,,,,,
ABL2,cnv,,,,,
ABLIM1,mut,,,,,
ABLIM1,cnv,,,,,
ABLIM2,mut,,,,,
ABLIM2,cnv,,,,,
ABLIM3,mut,,,,,
ABLIM3,cnv,,,,,
ABRA,mut,,,,,
ABRA,cnv,,,,,
ABTB1,mut,,,,,
ABTB1,cnv,,,,,
ABTB2,mut,,,,,
ABTB2,cnv,,,,,
ACAA1,mut,,,,,
ACAA1,cnv,,,,,
ACAD11,mut,,,,,
ACAD11,cnv,,,,,
ACAD9,mut,,,,,
ACAD9,cnv,,,,,
ACADL,mut,,,,,
ACADL,cnv,,,,,
ACADM,mut,,,,,
ACADM,cnv,,,,,
ACADSB,mut,,,,,
ACADSB,cnv,,,,,
ACAP2,mut,,,,,
ACAP2,cnv,,,,,
ACAP3,mut,,,,,
