gene,feature,nn_fold_0,nn_fold_1,nn_fold_2,nn_fold_3,nn_fold_4
ACAP3,mut,,,,,
ACAP3,cnv,,,,,
ACTRT2,mut,,,,,
ACTRT2,cnv,,,,,
AGRN,mut,,,,,
AGRN,cnv,,,,,
ANKRD65,mut,,,,,
ANKRD65,cnv,,,,,
ATAD3A,mut,,,,,
ATAD3A,cnv,,,,,
ATAD3B,mut,,,,,
ATAD3B,cnv,,,,,
ATAD3C,mut,,,,,
ATAD3C,cnv,,,,,
AURKAIP1,mut,,,,,
AURKAIP1,cnv,,,,,
B3GALT6,mut,,,,,
B3GALT6,cnv,,,,,
C1orf159,mut,,,,,
C1orf159,cnv,,,,,
C1orf170,mut,,,,,
C1orf170,cnv,,,,,
C1orf222,mut,,,,,
C1orf222,cnv,,,,,
C1orf233,mut,,,,,
C1orf233,cnv,,,,,
C1orf86,mut,,,,,
C1orf86,cnv,,,,,
CALML6,mut,,,,,
CALML6,cnv,,,,,
CCNL2,mut,,,,,
CCNL2,cnv,,,,,
CDK11A,mut,,,,,
CDK11A,cnv,,,,,
CDK11B,mut,,,,,
CDK11B,cnv,,,,,
CPSF3L,mut,,,,,
CPSF3L,cnv,,,,,
DDX11L1,mut,,,,,
DDX11L1,cnv,,,,,
DVL1,mut,,,,,
DVL1,cnv,,,,,
FAM132A,mut,,,,,
FAM132A,cnv,,,,,
FAM138A,mut,,,,,
FAM138A,cnv,,,,,
FAM213B,mut,,,,,
FAM213B,cnv,,,,,
FAM41C,mut,,,,,
FAM41C,cnv,,,,,
FAM87B,mut,,,,,
FAM87B,cnv,,,,,
GABRD,mut,,,,,
GABRD,cnv,,,,,
GLTPD1,mut,,,,,
GLTPD1,cnv,,,,,
GNB1,mut,,,,,
GNB1,cnv,,,,,
HES4,mut,,,,,
HES4,cnv,,,,,
HES5,mut,,,,,
HES5,cnv,,,,,
ISG15,mut,,,,,
ISG15,cnv,,,,,
KLHL17,mut,,,,,
KLHL17,cnv,,,,,
LINC00115,mut,,,,,
LINC00115,cnv,,,,,
LINC00982,mut,,,,,
LINC00982,cnv,,,,,
MIB2,mut,,,,,
MIB2,cnv,,,,,
MIR200A,mut,,,,,
MIR200A,cnv,,,,,
MIR200B,mut,,,,,
MIR200B,cnv,,,,,
MIR429,mut,,,,,
MIR429,cnv,,,,,
MMEL1,mut,,,,,
MMEL1,cnv,,,,,
MMP23B,mut,,,,,
MMP23B,cnv,,,,,
MORN1,mut,,,,,
MORN1,cnv,,,,,
MRPL20,mut,,,,,
MRPL20,cnv,,,,,
MXRA8,mut,,,,,
MXRA8,cnv,,,,,
NADK,mut,,,,,
NADK,cnv,,,,,
NOC2L,mut,,,,,
NOC2L,cnv,,,,,
OR4F16,mut,,,,,
OR4F16,cnv,,,,,
OR4F29,mut,,,,,
OR4F29,cnv,,,,,
OR4F5,mut,,,,,
OR4F5,cnv,,,,,
PANK4,mut,,,,,
PANK4,cnv,,,,,
PEX10,mut,,,,,
PEX10,cnv,,,,,
PLCH2,mut,,,,,
PLCH2,cnv,,,,,
PLEKHN1,mut,,,,,
PLEKHN1,cnv,,,,,
PRDM16,mut,,,,,
PRDM16,cnv,,,,,
PRKCZ,mut,,,,,
PRKCZ,cnv,,,,,
PUSL1,mut,,,,,
PUSL1,cnv,,,,,
RER1,mut,,,,,
RER1,cnv,,,,,
RN7SL657P,mut,,,,,
RN7SL657P,cnv,,,,,
RNF223,mut,,,,,
RNF223,cnv,,,,,
SAMD11,mut,,,,,
SAMD11,cnv,,,,,
SCNN1D,mut,,,,,
SCNN1D,cnv,,,,,
SDF4,mut,,,,,
SDF4,cnv,,,,,
SKI,mut,,,,,
SKI,cnv,,,,,
SLC35E2B,mut,,,,,
SLC35E2B,cnv,,,,,
SLC35E2,mut,,,,,
SLC35E2,cnv,,,,,
SSU72,mut,,,,,
SSU72,cnv,,,,,
TAS1R3,mut,,,,,
TAS1R3,cnv,,,,,
TMEM240,mut,,,,,
TMEM240,cnv,,,,,
TMEM52,mut,,,,,
TMEM52,cnv,,,,,
TMEM88B,mut,,,,,
TMEM88B,cnv,,,,,
TNFRSF14,mut,,,,,
TNFRSF14,cnv,,,,,
TNFRSF18,mut,,,,,
TNFRSF18,cnv,,,,,
TNFRSF4,mut,,,,,
TNFRSF4,cnv,,,,,
TTC34,mut,,,,,
TTC34,cnv,,,,,
TTLL10,mut,,,,,
TTLL10,cnv,,,,,
UBE2J2,mut,,,,,
UBE2J2,cnv,,,,,
VWA1,mut,,,,,
VWA1,cnv,,,,,
ARHGEF16,mut,,,,,
ARHGEF16,cnv,,,,,
MEGF6,mut,,,,,
MEGF6,cnv,,,,,
MIR551A,mut,,,,,
MIR551A,cnv,,,,,
TPRG1L,mut,,,,,
TPRG1L,cnv,,,,,
WRAP73,mut,,,,,
WRAP73,cnv,,,,,
TP73,mut,,,,,
TP73,cnv,,,,,
CCDC27,mut,,,,,
CCDC27,cnv,,,,,
SMIM1,mut,,,,,
SMIM1,cnv,,,,,
LRRC47,mut,,,,,
LRRC47,cnv,,,,,
RN7SL574P,mut,,,,,
RN7SL574P,cnv,,,,,
CEP104,mut,,,,,
CEP104,cnv,,,,,
DFFB,mut,,,,,
DFFB,cnv,,,,,
C1orf174,mut,,,,,
C1orf174,cnv,,,,,
AJAP1,mut,,,,,
AJAP1,cnv,,,,,
MIR4417,mut,,,,,
MIR4417,cnv,,,,,
MIR4689,mut,,,,,
MIR4689,cnv,,,,,
NPHP4,mut,,,,,
NPHP4,cnv,,,,,
KCNAB2,mut,,,,,
KCNAB2,cnv,,,,,
CHD5,mut,,,,,
CHD5,cnv,,,,,
RPL22,mut,,,,,
RPL22,cnv,,,,,
RNF207,mut,,,,,
RNF207,cnv,,,,,
ICMT,mut,,,,,
ICMT,cnv,,,,,
LINC00337,mut,,,,,
LINC00337,cnv,,,,,
GPR153,mut,,,,,
GPR153,cnv,,,,,
HES3,mut,,,,,
HES3,cnv,,,,,
ACOT7,mut,,,,,
ACOT7,cnv,,,,,
HES2,mut,,,,,
HES2,cnv,,,,,
ESPN,mut,,,,,
ESPN,cnv,,,,,
MIR4252,mut,,,,,
MIR4252,cnv,,,,,
PLEKHG5,mut,,,,,
PLEKHG5,cnv,,,,,
TNFRSF25,mut,,,,,
TNFRSF25,cnv,,,,,
NOL9,mut,,,,,
NOL9,cnv,,,,,
TAS1R1,mut,,,,,
TAS1R1,cnv,,,,,
ZBTB48,mut,,,,,
ZBTB48,cnv,,,,,
KLHL21,mut,,,,,
KLHL21,cnv,,,,,
PHF13,mut,,,,,
PHF13,cnv,,,,,
THAP3,mut,,,,,
THAP3,cnv,,,,,
DNAJC11,mut,,,,,
DNAJC11,cnv,,,,,
CAMTA1,mut,,,,,
CAMTA1,cnv,,,,,
VAMP3,mut,,,,,
VAMP3,cnv,,,,,
PER3,mut,,,,,
PER3,cnv,,,,,
UTS2,mut,,,,,
UTS2,cnv,,,,,
TNFRSF9,mut,,,,,
TNFRSF9,cnv,,,,,
PARK7,mut,,,,,
PARK7,cnv,,,,,
ERRFI1,mut,,,,,
ERRFI1,cnv,,,,,
RN7SL729P,mut,,,,,
RN7SL729P,cnv,,,,,
SLC45A1,mut,,,,,
SLC45A1,cnv,,,,,
RERE,mut,,,,,
RERE,cnv,,,,,
ENO1,mut,,,,,
ENO1,cnv,,,,,
CA6,mut,,,,,
CA6,cnv,,,,,
RN7SL451P,mut,,,,,
RN7SL451P,cnv,,,,,
SLC2A7,mut,,,,,
SLC2A7,cnv,,,,,
SLC2A5,mut,,,,,
SLC2A5,cnv,,,,,
GPR157,mut,,,,,
GPR157,cnv,,,,,
MIR34A,mut,,,,,
MIR34A,cnv,,,,,
H6PD,mut,,,,,
H6PD,cnv,,,,,
SPSB1,mut,,,,,
SPSB1,cnv,,,,,
RNA5SP40,mut,,,,,
RNA5SP40,cnv,,,,,
SLC25A33,mut,,,,,
SLC25A33,cnv,,,,,
TMEM201,mut,,,,,
TMEM201,cnv,,,,,
C1orf200,mut,,,,,
C1orf200,cnv,,,,,
PIK3CD,mut,,,,,
PIK3CD,cnv,,,,,
CLSTN1,mut,,,,,
CLSTN1,cnv,,,,,
CTNNBIP1,mut,,,,,
CTNNBIP1,cnv,,,,,
LZIC,mut,,,,,
LZIC,cnv,,,,,
NMNAT1,mut,,,,,
NMNAT1,cnv,,,,,
RN7SKP269,mut,,,,,
RN7SKP269,cnv,,,,,
MIR5697,mut,,,,,
MIR5697,cnv,,,,,
RBP7,mut,,,,,
RBP7,cnv,,,,,
UBE4B,mut,,,,,
UBE4B,cnv,,,,,
KIF1B,mut,,,,,
KIF1B,cnv,,,,,
MIR1273D,mut,,,,,
MIR1273D,cnv,,,,,
RN7SL731P,mut,,,,,
RN7SL731P,cnv,,,,,
RN7SL721P,mut,,,,,
RN7SL721P,cnv,,,,,
PGD,mut,,,,,
PGD,cnv,,,,,
APITD1,mut,,,,,
APITD1,cnv,,,,,
CORT,mut,,,,,
CORT,cnv,,,,,
DFFA,mut,,,,,
DFFA,cnv,,,,,
PEX14,mut,,,,,
PEX14,cnv,,,,,
RN7SL614P,mut,,,,,
RN7SL614P,cnv,,,,,
CASZ1,mut,,,,,
CASZ1,cnv,,,,,
C1orf127,mut,,,,,
C1orf127,cnv,,,,,
TARDBP,mut,,,,,
TARDBP,cnv,,,,,
MASP2,mut,,,,,
MASP2,cnv,,,,,
SRM,mut,,,,,
SRM,cnv,,,,,
EXOSC10,mut,,,,,
EXOSC10,cnv,,,,,
MTOR,mut,,,,,
MTOR,cnv,,,,,
ANGPTL7,mut,,,,,
ANGPTL7,cnv,,,,,
UBIAD1,mut,,,,,
UBIAD1,cnv,,,,,
PTCHD2,mut,,,,,
PTCHD2,cnv,,,,,
FBXO2,mut,,,,,
FBXO2,cnv,,,,,
FBXO44,mut,,,,,
FBXO44,cnv,,,,,
FBXO6,mut,,,,,
FBXO6,cnv,,,,,
MAD2L2,mut,,,,,
MAD2L2,cnv,,,,,
DRAXIN,mut,,,,,
DRAXIN,cnv,,,,,
AGTRAP,mut,,,,,
AGTRAP,cnv,,,,,
C1orf167,mut,,,,,
C1orf167,cnv,,,,,
MTHFR,mut,,,,,
MTHFR,cnv,,,,,
CLCN6,mut,,,,,
CLCN6,cnv,,,,,
NPPA,mut,,,,,
NPPA,cnv,,,,,
NPPB,mut,,,,,
NPPB,cnv,,,,,
KIAA2013,mut,,,,,
KIAA2013,cnv,,,,,
PLOD1,mut,,,,,
PLOD1,cnv,,,,,
MFN2,mut,,,,,
MFN2,cnv,,,,,
MIIP,mut,,,,,
MIIP,cnv,,,,,
RN7SL649P,mut,,,,,
RN7SL649P,cnv,,,,,
TNFRSF8,mut,,,,,
TNFRSF8,cnv,,,,,
TNFRSF1B,mut,,,,,
TNFRSF1B,cnv,,,,,
MIR4632,mut,,,,,
MIR4632,cnv,,,,,
VPS13D,mut,,,,,
VPS13D,cnv,,,,,
SNORA59A,mut,,,,,
SNORA59A,cnv,,,,,
DHRS3,mut,,,,,
DHRS3,cnv,,,,,
RNU6ATAC18P,mut,,,,,
RNU6ATAC18P,cnv,,,,,
AADACL4,mut,,,,,
AADACL4,cnv,,,,,
AADACL3,mut,,,,,
AADACL3,cnv,,,,,
C1orf158,mut,,,,,
C1orf158,cnv,,,,,
HNRNPCL1,mut,,,,,
HNRNPCL1,cnv,,,,,
PRAMEF10,mut,,,,,
PRAMEF10,cnv,,,,,
PRAMEF11,mut,,,,,
PRAMEF11,cnv,,,,,
PRAMEF12,mut,,,,,
PRAMEF12,cnv,,,,,
PRAMEF13,mut,,,,,
PRAMEF13,cnv,,,,,
PRAMEF14,mut,,,,,
PRAMEF14,cnv,,,,,
PRAMEF15,mut,,,,,
PRAMEF15,cnv,,,,,
PRAMEF16,mut,,,,,
PRAMEF16,cnv,,,,,
PRAMEF17,mut,,,,,
PRAMEF17,cnv,,,,,
PRAMEF18,mut,,,,,
PRAMEF18,cnv,,,,,
PRAMEF19,mut,,,,,
PRAMEF19,cnv,,,,,
PRAMEF1,mut,,,,,
PRAMEF1,cnv,,,,,
PRAMEF21,mut,,,,,
PRAMEF21,cnv,,,,,
PRAMEF22,mut,,,,,
PRAMEF22,cnv,,,,,
PRAMEF2,mut,,,,,
PRAMEF2,cnv,,,,,
PRAMEF3,mut,,,,,
PRAMEF3,cnv,,,,,
PRAMEF4,mut,,,,,
PRAMEF4,cnv,,,,,
PRAMEF5,mut,,,,,
PRAMEF5,cnv,,,,,
PRAMEF6,mut,,,,,
PRAMEF6,cnv,,,,,
PRAMEF7,mut,,,,,
PRAMEF7,cnv,,,,,
PRAMEF8,mut,,,,,
PRAMEF8,cnv,,,,,
PRAMEF9,mut,,,,,
PRAMEF9,cnv,,,,,
PRAMEF20,mut,,,,,
PRAMEF20,cnv,,,,,
LRRC38,mut,,,,,
LRRC38,cnv,,,,,
PDPN,mut,,,,,
PDPN,cnv,,,,,
RNA5SP41,mut,,,,,
RNA5SP41,cnv,,,,,
PRDM2,mut,,,,,
PRDM2,cnv,,,,,
KAZN,mut,,,,,
KAZN,cnv,,,,,
TMEM51,mut,,,,,
TMEM51,cnv,,,,,
C1orf195,mut,,,,,
C1orf195,cnv,,,,,
FHAD1,mut,,,,,
FHAD1,cnv,,,,,
EFHD2,mut,,,,,
EFHD2,cnv,,,,,
CTRC,mut,,,,,
CTRC,cnv,,,,,
CELA2A,mut,,,,,
CELA2A,cnv,,,,,
CELA2B,mut,,,,,
CELA2B,cnv,,,,,
CASP9,mut,,,,,
CASP9,cnv,,,,,
DNAJC16,mut,,,,,
DNAJC16,cnv,,,,,
AGMAT,mut,,,,,
AGMAT,cnv,,,,,
DDI2,mut,,,,,
DDI2,cnv,,,,,
RSC1A1,mut,,,,,
RSC1A1,cnv,,,,,
PLEKHM2,mut,,,,,
PLEKHM2,cnv,,,,,
FBLIM1,mut,,,,,
FBLIM1,cnv,,,,,
SLC25A34,mut,,,,,
SLC25A34,cnv,,,,,
TMEM82,mut,,,,,
TMEM82,cnv,,,,,
SPEN,mut,,,,,
SPEN,cnv,,,,,
ZBTB17,mut,,,,,
ZBTB17,cnv,,,,,
C1orf64,mut,,,,,
C1orf64,cnv,,,,,
HSPB7,mut,,,,,
HSPB7,cnv,,,,,
CLCNKA,mut,,,,,
CLCNKA,cnv,,,,,
CLCNKB,mut,,,,,
CLCNKB,cnv,,,,,
FAM131C,mut,,,,,
FAM131C,cnv,,,,,
EPHA2,mut,,,,,
EPHA2,cnv,,,,,
ARHGEF19,mut,,,,,
ARHGEF19,cnv,,,,,
ANO7P1,mut,,,,,
ANO7P1,cnv,,,,,
C1orf134,mut,,,,,
C1orf134,cnv,,,,,
RSG1,mut,,,,,
RSG1,cnv,,,,,
FBXO42,mut,,,,,
FBXO42,cnv,,,,,
SZRD1,mut,,,,,
SZRD1,cnv,,,,,
SPATA21,mut,,,,,
SPATA21,cnv,,,,,
NECAP2,mut,,,,,
NECAP2,cnv,,,,,
CROCCP3,mut,,,,,
CROCCP3,cnv,,,,,
ATP13A2,mut,,,,,
ATP13A2,cnv,,,,,
CROCCP2,mut,,,,,
CROCCP2,cnv,,,,,
CROCC,mut,,,,,
CROCC,cnv,,,,,
ESPNP,mut,,,,,
ESPNP,cnv,,,,,
MFAP2,mut,,,,,
MFAP2,cnv,,,,,
MIR3675,mut,,,,,
MIR3675,cnv,,,,,
MST1L,mut,,,,,
MST1L,cnv,,,,,
NBPF1,mut,,,,,
NBPF1,cnv,,,,,
SDHB,mut,,,,,
SDHB,cnv,,,,,
PADI2,mut,,,,,
PADI2,cnv,,,,,
PADI1,mut,,,,,
PADI1,cnv,,,,,
PADI3,mut,,,,,
PADI3,cnv,,,,,
MIR3972,mut,,,,,
MIR3972,cnv,,,,,
PADI4,mut,,,,,
PADI4,cnv,,,,,
PADI6,mut,,,,,
PADI6,cnv,,,,,
RCC2,mut,,,,,
RCC2,cnv,,,,,
ARHGEF10L,mut,,,,,
ARHGEF10L,cnv,,,,,
ACTL8,mut,,,,,
ACTL8,cnv,,,,,
IGSF21,mut,,,,,
IGSF21,cnv,,,,,
KLHDC7A,mut,,,,,
KLHDC7A,cnv,,,,,
PAX7,mut,,,,,
PAX7,cnv,,,,,
TAS1R2,mut,,,,,
TAS1R2,cnv,,,,,
ALDH4A1,mut,,,,,
ALDH4A1,cnv,,,,,
MIR4695,mut,,,,,
MIR4695,cnv,,,,,
MIR1290,mut,,,,,
MIR1290,cnv,,,,,
IFFO2,mut,,,,,
IFFO2,cnv,,,,,
UBR4,mut,,,,,
UBR4,cnv,,,,,
EMC1,mut,,,,,
EMC1,cnv,,,,,
MRTO4,mut,,,,,
MRTO4,cnv,,,,,
