rank,gene,importance,recursion_depth
1,KRT14,1.0,3.350
2,ZNHIT2,1.0,1.541
3,ZNF676,1.0,2.054
4,ZIC5,1.0,1.000
5,ZCCHC12,1.0,1.845
6,WISP2,1.0,3.989
7,WFDC12,1.0,2.185
8,WDR17,1.0,2.663
9,VCAN,1.0,2.453
10,UNC5A,1.0,3.333
11,UMODL1,1.0,3.725
12,UGT2B15,1.0,1.839
13,UGT1A6,1.0,3.415
14,TYRP1,1.0,3.002
15,TUBA3E,1.0,2.489
16,TRPM8,1.0,3.579
17,TRH,1.0,3.528
18,TMPRSS11D,1.0,3.541
19,TMEM171,1.0,2.641
20,TM4SF19,1.0,3.421
21,TJP3,1.0,1.287
22,TCF21,1.0,2.899
23,SPRR3,1.0,1.985
24,SPRR2E,1.0,2.029
25,SPRR2C,1.0,3.868
26,ACTG2,1.0,3.438
27,SPRR2B,1.0,1.857
28,SOX21,1.0,1.120
29,SOX11,1.0,2.795
30,ADAM23,1.0,3.279
31,ADAM6,1.0,2.828
32,SOX10,1.0,3.415
33,SOHLH1,1.0,3.489
34,SLITRK6,1.0,1.881
35,SLCO1A2,1.0,3.880
36,SLC7A5,1.0,2.101
37,SLC6A3,1.0,3.011
38,SLC6A11,1.0,3.558
39,ADCY2,1.0,3.235
40,SLC5A8,1.0,2.034
41,SLC26A7,1.0,3.558
42,SLC1A1,1.0,1.545
43,ADH1B,1.0,3.553
44,SLC15A1,1.0,3.315
45,SIDT1,1.0,1.648
46,SH3GL2,1.0,1.981
47,SGCA,1.0,3.805
48,SFN,1.0,3.996
49,SEMA3E,1.0,1.524
50,SELENBP1,1.0,3.384
51,SCGB1D2,1.0,2.646
52,S100B,1.0,3.478
53,RUNDC3A,1.0,1.369
54,RPS6KA6,1.0,2.033
55,ROS1,1.0,3.306
56,RNF128,1.0,3.283
57,RIC3,1.0,2.084
58,RASGRF1,1.0,1.721
59,AIM1L,1.0,3.570
60,RAET1L,1.0,1.453
61,PTGIS,1.0,3.977
62,PRSS12,1.0,2.767
63,PROM1,1.0,2.386
64,PRLR,1.0,2.887
65,PRKY,1.0,1.663
66,PRG4,1.0,1.914
67,PPP2R2C,1.0,1.421
68,PLUNC,1.0,3.880
69,PLP1,1.0,1.799
70,PLAC2,1.0,1.748
71,PLA2G4F,1.0,2.646
72,PEG3,1.0,2.537
73,PEBP4,1.0,3.386
74,PDZK1,1.0,2.451
75,PCSK2,1.0,2.807
76,PCDP1,1.0,1.709
77,ALOX12B,1.0,3.233
78,PCDHGB5,1.0,3.444
79,PCDHA6,1.0,1.728
80,PCDHA3,1.0,3.002
81,PBK,1.0,1.321
82,PAX1,1.0,1.543
83,PAEP,1.0,3.665
84,OLFM4,1.0,2.063
85,NR0B1,1.0,3.340
86,AMPD1,1.0,3.610
87,NPTX1,1.0,3.442
88,NPM2,1.0,3.581
89,NOS1,1.0,3.880
90,NKX2-1,1.0,2.969
91,NEIL3,1.0,2.015
92,MYPN,1.0,2.962
93,ANKRD30A,1.0,4.000
94,MYOT,1.0,3.816
95,MYL4,1.0,3.474
96,MYH2,1.0,2.107
97,MUC21,1.0,3.937
98,MSMB,1.0,1.545
99,MRAP2,1.0,2.398
100,ANXA10,1.0,3.604
101,MPPED2,1.0,3.667
102,MMRN1,1.0,2.698
103,MMP7,1.0,3.734
104,MMP1,1.0,1.941
105,LYPD2,1.0,1.887
106,LTF,1.0,2.870
107,LRRK2,1.0,3.788
108,LCN12,1.0,2.470
109,LAMP3,1.0,3.776
110,LAMB3,1.0,1.811
111,KY,1.0,2.489
112,KRT83,1.0,3.128
113,KREMEN2,1.0,3.554
114,KLK11,1.0,1.497
115,KLHL14,1.0,3.885
116,ARC,1.0,2.927
117,AREG,1.0,2.457
118,KIF5C,1.0,3.141
119,KIAA1324,1.0,3.820
120,KIAA0125,1.0,2.996
121,ARL14,1.0,2.642
122,INSM1,1.0,1.683
123,IL1F9,1.0,2.862
124,ARNTL2,1.0,3.371
125,IL1A,1.0,1.767
126,ICAM5,1.0,1.660
127,HSPB3,1.0,2.539
128,ARTN,1.0,2.000
129,HS6ST2,1.0,2.876
130,HPCAL4,1.0,3.828
131,HP,1.0,2.927
132,HOXD10,1.0,3.776
133,HOXC10,1.0,1.545
134,HNF1B,1.0,3.226
135,HMGCS2,1.0,3.977
136,HEPACAM2,1.0,2.107
137,HBA1,1.0,2.434
138,HABP2,1.0,1.006
139,GSDMA,1.0,3.352
140,GRPR,1.0,2.208
141,ATP8A1,1.0,3.229
142,GRIN2C,1.0,1.365
143,GPX2,1.0,3.421
144,GPD1,1.0,3.495
145,GBP6,1.0,1.924
146,GATA4,1.0,3.430
147,FRMD3,1.0,2.319
148,FOXE1,1.0,3.002
149,FOXA3,1.0,3.839
150,FLJ42875,1.0,3.727
151,FCRLA,1.0,2.895
152,FAM83F,1.0,4.000
153,FAM83B,1.0,1.214
154,FAM5B,1.0,1.843
155,FAM132A,1.0,2.486
156,FADS6,1.0,3.055
157,ERN2,1.0,2.641
158,ENPP1,1.0,3.719
159,EN1,1.0,3.390
160,EFCAB1,1.0,3.352
161,E2F7,1.0,3.778
162,DUSP9,1.0,2.939
163,DOCK3,1.0,4.000
164,DLEC1,1.0,2.577
165,DHRS2,1.0,1.740
166,DAPL1,1.0,1.342
167,DACT2,1.0,1.096
168,CYP2S1,1.0,1.872
169,CYP26A1,1.0,1.155
170,CXCL9,1.0,3.742
171,CXCL10,1.0,1.686
172,CSMD1,1.0,2.874
173,CSAG1,1.0,3.627
174,BPIL1,1.0,3.876
175,CR1,1.0,1.608
176,CP,1.0,3.857
177,COL2A1,1.0,3.050
178,COL12A1,1.0,3.946
179,CLIC6,1.0,2.549
180,CLDN19,1.0,2.470
181,C11orf41,1.0,2.388
182,CKMT1B,1.0,2.688
183,CKAP2L,1.0,3.161
184,CIDEC,1.0,3.054
185,CHRDL2,1.0,3.423
186,CEACAM6,1.0,1.465
187,C13orf36,1.0,2.904
188,CEACAM5,1.0,1.776
189,CDH4,1.0,3.598
190,CDC45,1.0,3.711
191,C19orf33,1.0,2.153
192,CD177,1.0,3.541
193,CCL18,1.0,1.702
194,CBLC,1.0,4.000
195,CAPN9,1.0,3.036
