rank,gene,importance,recursion_depth
1,ABCC12,1.0,1.000
2,ABCC5,1.0,1.000
3,ADAM12,1.0,1.000
4,ADAMTS14,1.0,1.000
5,ADAMTSL3,1.0,1.000
6,ADCY5,1.0,1.000
7,ADRB1,1.0,1.000
8,AFP,1.0,1.000
9,AGR2,1.0,1.000
10,AIM1L,1.0,1.000
11,AKR7A3,1.0,1.000
12,ALDH1A1,1.0,1.000
13,ALDH3A1,1.0,1.000
14,ANGPTL7,1.0,1.000
15,ANKRD1,1.0,1.000
16,ANKRD2,1.0,1.000
17,ANPEP,1.0,1.000
18,APOB,1.0,1.000
19,APOH,1.0,1.000
20,ARHGEF38,1.0,1.000
21,ART4,1.0,1.000
22,AURKB,1.0,1.000
23,BANK1,1.0,1.000
24,BARX1,1.0,1.000
25,BDKRB1,1.0,1.000
26,BIK,1.0,1.000
27,BRDT,1.0,1.000
28,BRSK2,1.0,1.000
29,BTNL9,1.0,1.000
30,C10orf90,1.0,1.000
31,C1QL4,1.0,1.000
32,C21orf29,1.0,1.000
33,C2CD4C,1.0,1.000
34,C6orf138,1.0,1.000
35,C8orf46,1.0,1.000
36,C9orf169,1.0,1.000
37,CADM3,1.0,1.000
38,CALN1,1.0,1.000
39,CAMP,1.0,1.000
40,CCL23,1.0,1.000
41,CCL7,1.0,1.000
42,CCND2,1.0,1.000
43,CDK5R2,1.0,1.000
44,CENPF,1.0,1.000
45,CES1,1.0,1.000
46,CFI,1.0,1.000
47,CHRD,1.0,1.000
48,CHRNA4,1.0,1.000
49,CHST2,1.0,1.000
50,CITED1,1.0,1.000
51,CLEC3A,1.0,1.000
52,CLGN,1.0,1.000
53,CMYA5,1.0,1.000
54,CNGB3,1.0,1.000
55,COL19A1,1.0,1.000
56,COL4A4,1.0,1.000
57,COL8A1,1.0,1.000
58,CPXM2,1.0,1.000
59,CX3CR1,1.0,1.000
60,CXCL14,1.0,1.000
61,CXorf49B,1.0,1.000
62,CYP21A2,1.0,1.000
63,DAPK2,1.0,1.000
64,DIRAS2,1.0,1.000
65,DKFZp434J0226,1.0,1.000
66,DNAJC12,1.0,1.000
67,DSC1,1.0,1.000
68,DSC2,1.0,1.000
69,DUSP26,1.0,1.000
70,E2F8,1.0,1.000
71,EDAR,1.0,1.000
72,ENPP1,1.0,1.000
73,EOMES,1.0,1.000
74,EPCAM,1.0,1.000
75,EPHB1,1.0,1.000
76,ERP27,1.0,1.000
77,ESR1,1.0,1.000
78,ETV4,1.0,1.000
79,FAM153A,1.0,1.000
80,FCER1A,1.0,1.000
81,FCRL2,1.0,1.000
82,FGF13,1.0,1.000
83,FGF2,1.0,1.000
84,FLJ40330,1.0,1.000
85,FLNC,1.0,1.000
86,FREM1,1.0,1.000
87,FSD1,1.0,1.000
88,GABRQ,1.0,1.000
89,GALNTL1,1.0,1.000
90,GALNTL2,1.0,1.000
91,GGTLC1,1.0,1.000
92,GJB7,1.0,1.000
93,GKN2,1.0,1.000
94,GLP1R,1.0,1.000
95,GLS2,1.0,1.000
96,GNMT,1.0,1.000
97,GOLGA8A,1.0,1.000
98,GPC5,1.0,1.000
99,GPR37,1.0,1.000
100,GPRC5C,1.0,1.000
101,GRB14,1.0,1.000
102,GSDMA,1.0,1.000
103,HAL,1.0,1.000
104,HCN4,1.0,1.000
105,HEPACAM2,1.0,1.000
106,HEPN1,1.0,1.000
107,HIF3A,1.0,1.000
108,HLA-G,1.0,1.000
109,HS6ST3,1.0,1.000
110,IL1A,1.0,1.000
111,IL1R2,1.0,1.000
112,IL6,1.0,1.000
113,ISL2,1.0,1.000
114,ITGA9,1.0,1.000
115,ITIH2,1.0,1.000
116,JPH2,1.0,1.000
117,KANK4,1.0,1.000
118,KCNA3,1.0,1.000
119,KCNK15,1.0,1.000
120,KCNK7,1.0,1.000
121,KDM5D,1.0,1.000
122,KIF18B,1.0,1.000
123,KIF5C,1.0,1.000
124,KLK3,1.0,1.000
125,KRT17,1.0,1.000
126,KRT6B,1.0,1.000
127,KRT83,1.0,1.000
128,L3MBTL4,1.0,1.000
129,LAMC2,1.0,1.000
130,LAMC3,1.0,1.000
131,LCN6,1.0,1.000
132,LGALS4,1.0,1.000
133,LGI3,1.0,1.000
134,LGSN,1.0,1.000
135,LIPE,1.0,1.000
136,LMOD1,1.0,1.000
137,LOC100190938,1.0,1.000
138,LOC286467,1.0,1.000
139,LOC440173,1.0,1.000
140,LRP4,1.0,1.000
141,LRRC6,1.0,1.000
142,LRRN3,1.0,1.000
143,LUZP2,1.0,1.000
144,MAL,1.0,1.000
145,MAPK10,1.0,1.000
146,MEG3,1.0,1.000
147,MEOX2,1.0,1.000
148,MSC,1.0,1.000
149,MT1A,1.0,1.000
150,MT1F,1.0,1.000
151,MYO1G,1.0,1.000
152,MYOCD,1.0,1.000
153,MYOZ2,1.0,1.000
154,NALCN,1.0,1.000
155,NAP1L2,1.0,1.000
156,NAP1L6,1.0,1.000
157,NEB,1.0,1.000
158,NEIL3,1.0,1.000
159,NEU4,1.0,1.000
160,NLRP5,1.0,1.000
161,NMUR1,1.0,1.000
162,NTN4,1.0,1.000
163,NXPH3,1.0,1.000
164,OBP2A,1.0,1.000
165,OCA2,1.0,1.000
166,PADI3,1.0,1.000
167,PAX5,1.0,1.000
168,PAX9,1.0,1.000
169,PCDHGC5,1.0,1.000
170,PEBP4,1.0,1.000
171,PHGR1,1.0,1.000
172,PLAC1,1.0,1.000
173,PLAG1,1.0,1.000
174,PLEKHG7,1.0,1.000
175,POMC,1.0,1.000
176,PON1,1.0,1.000
177,PON3,1.0,1.000
178,PPAN-P2RY11,1.0,1.000
179,PPFIA4,1.0,1.000
180,PRG4,1.0,1.000
181,PROX1,1.0,1.000
182,PTGIS,1.0,1.000
183,PTPRQ,1.0,1.000
184,PTPRZ1,1.0,1.000
185,PYCR1,1.0,1.000
186,RAB27B,1.0,1.000
187,RBP5,1.0,1.000
188,RNF212,1.0,1.000
189,ROBO2,1.0,1.000
190,ROPN1,1.0,1.000
191,ROS1,1.0,1.000
192,RPS27,1.0,1.000
193,RTKN2,1.0,1.000
194,RTN1,1.0,1.000
195,RUNX1T1,1.0,1.000
196,RXFP1,1.0,1.000
197,S100A14,1.0,1.000
198,SALL4,1.0,1.000
199,SAMD13,1.0,1.000
200,SCML4,1.0,1.000
