rank,gene,importance,recursion_depth
1,ABCC12,1.0,4.000
2,ABCC5,1.0,4.000
3,ADAM12,1.0,4.000
4,ADAMTS14,1.0,4.000
5,ADAMTSL3,1.0,4.000
6,ADCY5,1.0,4.000
7,ADRB1,1.0,4.000
8,AFP,1.0,4.000
9,AGR2,1.0,4.000
10,AIM1L,1.0,4.000
11,AKR7A3,1.0,4.000
12,ALDH1A1,1.0,4.000
13,ALDH3A1,1.0,4.000
14,ANGPTL7,1.0,4.000
15,ANKRD1,1.0,4.000
16,ANKRD2,1.0,4.000
17,ANPEP,1.0,4.000
18,APOB,1.0,4.000
19,APOH,1.0,4.000
20,ARHGEF38,1.0,4.000
21,ART4,1.0,4.000
22,AURKB,1.0,4.000
23,BANK1,1.0,4.000
24,BARX1,1.0,4.000
25,BDKRB1,1.0,4.000
26,BIK,1.0,4.000
27,BRSK2,1.0,4.000
28,BTNL9,1.0,4.000
29,C10orf90,1.0,4.000
30,C1QL4,1.0,4.000
31,C21orf29,1.0,4.000
32,C2CD4C,1.0,4.000
33,C6orf138,1.0,4.000
34,C8orf46,1.0,4.000
35,C9orf169,1.0,4.000
36,CADM3,1.0,4.000
37,CALN1,1.0,4.000
38,CAMP,1.0,4.000
39,CCL23,1.0,4.000
40,CCL7,1.0,4.000
41,CCND2,1.0,4.000
42,CDK5R2,1.0,4.000
43,CENPF,1.0,4.000
44,CES1,1.0,4.000
45,CFI,1.0,4.000
46,CHRD,1.0,4.000
47,CHRNA4,1.0,4.000
48,CHST2,1.0,4.000
49,CITED1,1.0,4.000
50,CLEC3A,1.0,4.000
51,CLGN,1.0,4.000
52,CMYA5,1.0,4.000
53,CNGB3,1.0,4.000
54,COL19A1,1.0,4.000
55,COL4A4,1.0,4.000
56,COL8A1,1.0,4.000
57,CPXM2,1.0,4.000
58,CX3CR1,1.0,4.000
59,CXCL14,1.0,4.000
60,CXorf49B,1.0,4.000
61,CYP21A2,1.0,4.000
62,DAPK2,1.0,4.000
63,DIRAS2,1.0,4.000
64,DKFZp434J0226,1.0,4.000
65,DNAJC12,1.0,4.000
66,DSC1,1.0,4.000
67,DSC2,1.0,4.000
