rank,gene,importance,recursion_depth
1,ABCC12,1.0,3.197
2,ABCC5,1.0,2.396
3,ADAM12,1.0,3.467
4,ADAMTS14,1.0,2.602
5,ADAMTSL3,1.0,2.208
6,ADCY5,1.0,2.382
7,ADRB1,1.0,1.751
8,AFP,1.0,3.212
9,AGR2,1.0,2.468
10,AIM1L,1.0,1.772
11,AKR7A3,1.0,2.489
12,ALDH1A1,1.0,2.859
13,ALDH3A1,1.0,3.272
14,ANGPTL7,1.0,2.948
15,ANKRD1,1.0,3.560
16,ANKRD2,1.0,1.971
17,ANPEP,1.0,2.390
18,APOB,1.0,1.000
19,APOH,1.0,3.447
20,ARHGEF38,1.0,1.989
21,ART4,1.0,2.730
22,AURKB,1.0,2.815
23,BANK1,1.0,2.774
24,BARX1,1.0,3.239
25,BDKRB1,1.0,3.015
26,BIK,1.0,2.333
27,BRSK2,1.0,2.853
28,BTNL9,1.0,2.579
29,C10orf90,1.0,3.185
30,C1QL4,1.0,2.533
31,C21orf29,1.0,2.920
32,C2CD4C,1.0,2.717
33,C6orf138,1.0,3.262
34,C8orf46,1.0,3.008
35,C9orf169,1.0,3.380
36,CADM3,1.0,2.090
37,CALN1,1.0,3.082
38,CAMP,1.0,2.719
39,CCL23,1.0,3.252
40,CCL7,1.0,3.115
41,CCND2,1.0,2.300
42,CDK5R2,1.0,1.704
43,CENPF,1.0,2.685
44,CES1,1.0,2.348
45,CFI,1.0,3.216
46,CHRD,1.0,3.342
47,CHRNA4,1.0,3.237
48,CHST2,1.0,2.511
49,CITED1,1.0,1.260
50,CLEC3A,1.0,3.598
51,CLGN,1.0,3.113
52,CMYA5,1.0,3.132
53,CNGB3,1.0,3.061
54,COL19A1,1.0,3.237
55,COL4A4,1.0,3.065
56,COL8A1,1.0,2.031
57,CPXM2,1.0,2.824
58,CX3CR1,1.0,2.279
59,CXCL14,1.0,1.006
60,CXorf49B,1.0,1.606
61,CYP21A2,1.0,2.008
62,DAPK2,1.0,2.073
63,DIRAS2,1.0,3.430
64,DKFZp434J0226,1.0,3.063
65,DNAJC12,1.0,2.990
66,DSC1,1.0,1.426
67,DSC2,1.0,2.472
68,DUSP26,1.0,2.956
69,E2F8,1.0,2.392
70,EDAR,1.0,3.006
71,ENPP1,1.0,3.111
72,EOMES,1.0,2.885
73,EPCAM,1.0,3.499
74,EPHB1,1.0,2.776
75,ERP27,1.0,2.396
76,ESR1,1.0,3.059
77,ETV4,1.0,2.576
78,FAM153A,1.0,2.220
79,FCER1A,1.0,2.663
80,FCRL2,1.0,2.723
81,FGF13,1.0,2.595
82,FGF2,1.0,2.864
83,FLJ40330,1.0,2.922
84,FLNC,1.0,3.394
85,FREM1,1.0,3.067
86,FSD1,1.0,1.939
87,GABRQ,1.0,1.738
88,GALNTL1,1.0,2.650
89,GALNTL2,1.0,2.579
90,GGTLC1,1.0,2.398
91,GJB7,1.0,3.279
92,GKN2,1.0,3.451
93,GLP1R,1.0,1.870
94,GLS2,1.0,2.092
95,GNMT,1.0,2.235
96,GOLGA8A,1.0,3.398
97,GPC5,1.0,2.149
98,GPR37,1.0,2.467
99,GPRC5C,1.0,2.830
100,GRB14,1.0,3.388
101,GSDMA,1.0,1.895
102,HAL,1.0,3.465
103,HCN4,1.0,3.314
104,HEPACAM2,1.0,3.390
105,HEPN1,1.0,3.421
106,HIF3A,1.0,2.547
107,HLA-G,1.0,2.273
108,HS6ST3,1.0,3.099
109,IL1A,1.0,3.352
110,IL1R2,1.0,2.405
111,IL6,1.0,2.832
112,ITGA9,1.0,3.694
113,ITIH2,1.0,3.361
114,JPH2,1.0,3.151
115,KANK4,1.0,2.491
116,KCNA3,1.0,1.836
117,KCNK15,1.0,2.788
118,KCNK7,1.0,2.740
119,KDM5D,1.0,3.069
120,KIF18B,1.0,3.054
121,KIF5C,1.0,1.639
122,KLK3,1.0,3.264
123,KRT17,1.0,3.050
124,KRT6B,1.0,2.478
125,KRT83,1.0,2.585
126,L3MBTL4,1.0,2.350
127,LAMC2,1.0,1.449
128,LAMC3,1.0,2.438
129,LCN6,1.0,1.797
130,LGALS4,1.0,3.241
131,LGI3,1.0,2.625
132,LGSN,1.0,3.315
133,LIPE,1.0,2.394
134,LMOD1,1.0,3.117
135,LOC100190938,1.0,1.604
