rank,gene,importance,recursion_depth
1,ABCC12,1.0,2.015
2,ABCC5,1.0,1.721
3,ADAM12,1.0,1.690
4,ADAMTS14,1.0,3.893
5,ADAMTSL3,1.0,1.665
6,ADCY5,1.0,1.052
7,ADRB1,1.0,2.141
8,AFP,1.0,3.918
9,AGR2,1.0,3.730
10,AIM1L,1.0,2.294
11,AKR7A3,1.0,1.264
12,ALDH1A1,1.0,3.459
13,ALDH3A1,1.0,2.572
14,ANGPTL7,1.0,2.446
15,ANKRD1,1.0,2.864
16,ANKRD2,1.0,4.000
17,ANPEP,1.0,3.384
18,APOB,1.0,2.757
19,APOH,1.0,3.568
20,ARHGEF38,1.0,3.411
21,ART4,1.0,1.730
22,AURKB,1.0,2.792
23,BANK1,1.0,3.415
24,BARX1,1.0,2.669
25,BDKRB1,1.0,1.436
26,BIK,1.0,2.778
27,BRSK2,1.0,2.799
28,BTNL9,1.0,3.132
29,C10orf90,1.0,2.732
30,C1QL4,1.0,2.792
31,C21orf29,1.0,1.906
32,C2CD4C,1.0,1.992
33,C6orf138,1.0,2.098
34,C8orf46,1.0,2.524
35,C9orf169,1.0,3.872
36,CADM3,1.0,2.115
37,CALN1,1.0,1.811
38,CAMP,1.0,2.551
39,CCL23,1.0,3.954
40,CCL7,1.0,3.338
41,CCND2,1.0,3.543
42,CDK5R2,1.0,1.333
43,CENPF,1.0,3.287
44,CES1,1.0,3.822
45,CFI,1.0,3.765
46,CHRD,1.0,1.308
47,CHRNA4,1.0,2.266
48,CHST2,1.0,1.964
49,CITED1,1.0,1.346
50,CLEC3A,1.0,1.449
51,CLGN,1.0,2.101
52,CMYA5,1.0,2.650
53,CNGB3,1.0,3.989
54,COL19A1,1.0,2.405
55,COL4A4,1.0,1.633
56,COL8A1,1.0,1.730
57,CPXM2,1.0,3.157
58,CX3CR1,1.0,1.750
59,CXCL14,1.0,3.908
60,CXorf49B,1.0,2.163
61,CYP21A2,1.0,3.170
62,DAPK2,1.0,1.782
63,DIRAS2,1.0,1.296
64,DKFZp434J0226,1.0,3.872
65,DNAJC12,1.0,1.763
66,DSC1,1.0,3.350
67,DSC2,1.0,2.608
68,DUSP26,1.0,3.489
69,E2F8,1.0,3.243
70,EDAR,1.0,3.713
71,ENPP1,1.0,2.478
72,EOMES,1.0,3.834
73,EPCAM,1.0,3.811
74,EPHB1,1.0,3.545
75,ERP27,1.0,2.990
76,ESR1,1.0,3.346
77,ETV4,1.0,3.176
78,FAM153A,1.0,1.788
79,FCER1A,1.0,1.711
80,FCRL2,1.0,3.333
81,FGF13,1.0,3.057
82,FGF2,1.0,3.296
83,FLJ40330,1.0,3.098
84,FLNC,1.0,3.415
85,FREM1,1.0,1.673
86,FSD1,1.0,2.130
87,GABRQ,1.0,2.692
88,GALNTL1,1.0,2.862
89,GALNTL2,1.0,2.652
90,GGTLC1,1.0,3.329
91,GJB7,1.0,2.050
92,GKN2,1.0,3.989
93,GLP1R,1.0,1.937
94,GLS2,1.0,3.478
95,GNMT,1.0,1.556
96,GOLGA8A,1.0,3.795
97,GPC5,1.0,2.688
98,GPR37,1.0,2.208
99,GPRC5C,1.0,2.698
100,GRB14,1.0,2.623
101,GSDMA,1.0,2.503
102,HAL,1.0,4.000
103,HCN4,1.0,1.526
104,HEPACAM2,1.0,2.287
105,HEPN1,1.0,1.816
106,HIF3A,1.0,3.010
107,HLA-G,1.0,1.721
108,HS6ST3,1.0,3.398
109,IL1A,1.0,4.000
110,IL1R2,1.0,3.394
111,IL6,1.0,3.719
112,ISL2,1.0,3.707
113,ITGA9,1.0,3.553
114,ITIH2,1.0,3.969
