rank,gene,importance,recursion_depth
1,ABCC12,1.0,3.335
2,ABCC5,1.0,1.774
3,ADAM12,1.0,1.637
4,ADAMTS14,1.0,2.402
5,ADAMTSL3,1.0,2.792
6,ADCY5,1.0,2.987
7,ADRB1,1.0,2.945
8,AFP,1.0,2.317
9,AGR2,1.0,1.946
10,AIM1L,1.0,2.635
11,AKR7A3,1.0,3.002
12,ALDH1A1,1.0,2.918
13,ALDH3A1,1.0,2.897
14,ANGPTL7,1.0,2.746
15,ANKRD1,1.0,3.163
16,ANKRD2,1.0,2.795
17,ANPEP,1.0,2.398
18,APOB,1.0,3.249
19,APOH,1.0,3.646
20,ARHGEF38,1.0,2.551
21,ART4,1.0,2.918
22,AURKB,1.0,1.579
23,BANK1,1.0,2.512
24,BARX1,1.0,2.929
25,BDKRB1,1.0,2.348
26,BIK,1.0,1.929
27,BRSK2,1.0,2.658
28,BTNL9,1.0,1.734
29,C10orf90,1.0,3.514
30,C1QL4,1.0,1.598
31,C21orf29,1.0,1.960
32,C2CD4C,1.0,2.359
33,C6orf138,1.0,3.036
34,C8orf46,1.0,3.075
35,C9orf169,1.0,2.872
36,CACNB4,1.0,2.862
37,CADM3,1.0,2.631
38,CALN1,1.0,2.631
39,CAMP,1.0,3.277
40,CCL23,1.0,2.851
41,CCL7,1.0,3.358
42,CCND2,1.0,2.751
43,CDK5R2,1.0,3.235
44,CENPF,1.0,2.805
45,CES1,1.0,2.912
46,CFI,1.0,2.273
47,CHRD,1.0,1.373
48,CHRNA4,1.0,2.985
49,CHST2,1.0,3.141
50,CITED1,1.0,2.868
51,CLEC3A,1.0,2.608
52,CLGN,1.0,2.864
53,CMYA5,1.0,2.476
54,CNGB3,1.0,2.685
55,COL19A1,1.0,2.966
56,COL4A4,1.0,2.084
57,COL8A1,1.0,2.033
58,CPXM2,1.0,2.744
59,CX3CR1,1.0,2.205
60,CXCL14,1.0,2.608
61,CXorf49B,1.0,2.000
62,CYP21A2,1.0,2.784
63,DAPK2,1.0,2.725
64,DIRAS2,1.0,2.421
65,DKFZp434J0226,1.0,2.669
66,DNAJC12,1.0,3.050
67,DSC1,1.0,3.122
68,DSC2,1.0,2.824
69,DUSP26,1.0,2.983
70,E2F8,1.0,1.929
71,EDAR,1.0,2.788
72,ENPP1,1.0,3.231
73,EOMES,1.0,3.050
74,EPCAM,1.0,1.465
75,EPHB1,1.0,3.153
76,ERP27,1.0,2.704
77,ESR1,1.0,2.981
78,ETV4,1.0,2.602
79,FAM153A,1.0,2.822
80,FCER1A,1.0,2.153
81,FCRL2,1.0,3.203
82,FGF13,1.0,3.122
83,FGF2,1.0,3.185
84,FLJ40330,1.0,2.738
85,FLNC,1.0,1.837
86,FREM1,1.0,2.761
87,FSD1,1.0,2.707
88,GABRQ,1.0,2.826
89,GALNTL1,1.0,2.868
90,GALNTL2,1.0,3.067
91,GGTLC1,1.0,1.709
92,GJB7,1.0,3.031
93,GKN2,1.0,2.746
94,GLP1R,1.0,2.845
95,GLS2,1.0,2.629
96,GNMT,1.0,3.011
97,GOLGA8A,1.0,2.996
98,GPC5,1.0,2.604
99,GPR37,1.0,2.629
100,GPRC5C,1.0,2.847
101,GRB14,1.0,2.377
102,GSDMA,1.0,2.685
103,HAL,1.0,2.755
104,HCN4,1.0,2.732
105,HEPACAM2,1.0,2.434
106,HEPN1,1.0,2.933
107,HIF3A,1.0,2.746
108,HLA-G,1.0,2.396
109,HS6ST3,1.0,3.189
110,IL1A,1.0,3.029
111,IL1R2,1.0,3.017
112,IL6,1.0,2.998
113,ITGA9,1.0,2.950
114,ITIH2,1.0,2.553
115,JPH2,1.0,2.662
116,KANK4,1.0,1.711
117,KCNA3,1.0,2.719
118,KCNK15,1.0,2.753
119,KCNK7,1.0,1.304
120,KDM5D,1.0,2.967
121,KIF18B,1.0,3.166
122,KIF5C,1.0,3.019
123,KLK3,1.0,3.054
124,KRT17,1.0,1.545
125,KRT6B,1.0,2.388
126,KRT83,1.0,2.994
127,L3MBTL4,1.0,1.736
128,LAMC2,1.0,2.359
129,LAMC3,1.0,2.973
130,LCN6,1.0,2.876
131,LGALS4,1.0,3.099
132,LGI3,1.0,2.549
133,LGSN,1.0,3.564
134,LIPE,1.0,2.966
135,LMOD1,1.0,2.964
136,LOC100190938,1.0,2.008
137,LOC286467,1.0,2.780
138,LOC440173,1.0,3.059
139,LRP4,1.0,2.400
140,LRRC6,1.0,2.650
141,LRRN3,1.0,2.851
142,LUZP2,1.0,3.065
143,MAL,1.0,3.004
144,MAPK10,1.0,2.767
145,MEG3,1.0,1.591
146,MEOX2,1.0,1.809
147,MSC,1.0,2.558
148,MT1A,1.0,3.237
149,MT1F,1.0,1.184
150,MYO1G,1.0,2.193
151,MYOCD,1.0,2.784
152,MYOZ2,1.0,3.145
153,NALCN,1.0,2.795
154,NAP1L2,1.0,2.948
155,NAP1L6,1.0,2.243
156,NEB,1.0,3.421
157,NEIL3,1.0,2.960
158,NEU4,1.0,3.205
159,NLRP5,1.0,2.893
160,NMUR1,1.0,3.119
161,NTN4,1.0,3.071
162,NXPH3,1.0,3.239
163,OBP2A,1.0,2.220
164,OCA2,1.0,2.709
165,PADI3,1.0,3.120
166,PAX5,1.0,3.348
167,PAX9,1.0,2.675
168,PCDHGC5,1.0,2.486
169,PEBP4,1.0,2.646
170,PHGR1,1.0,3.526
171,PLAC1,1.0,2.780
172,PLAG1,1.0,2.050
173,PLEKHG7,1.0,3.094
174,POMC,1.0,2.971
175,PON1,1.0,2.700
176,PON3,1.0,1.912
177,PPAN-P2RY11,1.0,2.405
178,PPFIA4,1.0,3.141
179,PRG4,1.0,2.572
180,PROX1,1.0,2.574
181,PTGIS,1.0,1.677
182,PTPRQ,1.0,3.073
183,PTPRZ1,1.0,2.772
184,PYCR1,1.0,2.576
185,RAB27B,1.0,2.459
186,RBP5,1.0,2.231
187,RNF212,1.0,2.182
188,ROBO2,1.0,2.612
189,ROPN1,1.0,2.931
190,ROS1,1.0,2.629
191,RPS27,1.0,2.685
192,RTKN2,1.0,2.350
193,RTN1,1.0,2.614
194,RUNX1T1,1.0,1.943
195,RXFP1,1.0,3.392
196,S100A14,1.0,2.426
197,SALL4,1.0,1.964
198,SAMD13,1.0,2.837
199,SCML4,1.0,2.195
200,SCN8A,1.0,3.262
