rank,gene,importance,recursion_depth
1,ABCC12,1.0,2.000
2,ABCC5,1.0,1.725
3,ADAM12,1.0,1.698
4,ADAMTS14,1.0,3.935
5,ADAMTSL3,1.0,1.728
6,ADCY5,1.0,1.394
7,ADRB1,1.0,3.384
8,AFP,1.0,4.000
9,AGR2,1.0,3.897
10,AIM1L,1.0,1.872
11,AKR7A3,1.0,1.069
12,ALDH1A1,1.0,3.979
13,ALDH3A1,1.0,1.545
14,ANGPTL7,1.0,3.621
15,ANKRD1,1.0,2.952
16,ANKRD2,1.0,4.000
17,ANPEP,1.0,3.826
18,APOB,1.0,2.491
19,APOH,1.0,1.344
20,ARHGEF38,1.0,4.000
21,ART4,1.0,3.748
22,AURKB,1.0,3.489
23,BANK1,1.0,3.421
24,BARX1,1.0,1.499
25,BDKRB1,1.0,2.159
26,BIK,1.0,1.472
27,BRSK2,1.0,2.078
28,BTNL9,1.0,3.377
29,C10orf90,1.0,2.956
30,C1QL4,1.0,1.981
31,C21orf29,1.0,1.954
32,C2CD4C,1.0,3.732
33,C6orf138,1.0,1.990
34,C8orf46,1.0,3.402
35,C9orf169,1.0,4.000
36,CADM3,1.0,1.551
37,CALN1,1.0,1.683
38,CAMP,1.0,1.960
39,CCL23,1.0,4.000
40,CCL7,1.0,3.663
41,CCND2,1.0,3.943
42,CDK5R2,1.0,1.174
43,CENPF,1.0,3.799
44,CES1,1.0,3.828
45,CFI,1.0,3.822
46,CHRD,1.0,1.841
47,CHRNA4,1.0,1.612
48,CHST2,1.0,3.168
49,CITED1,1.0,1.807
50,CLEC3A,1.0,3.013
51,CLGN,1.0,1.075
52,CMYA5,1.0,1.568
53,CNGB3,1.0,3.771
54,COL19A1,1.0,2.560
55,COL4A4,1.0,3.185
56,COL8A1,1.0,1.748
57,CPXM2,1.0,3.535
58,CX3CR1,1.0,1.837
59,CXCL14,1.0,2.468
60,CXorf49B,1.0,2.669
61,CYP21A2,1.0,4.000
62,DAPK2,1.0,1.870
63,DIRAS2,1.0,1.400
64,DKFZp434J0226,1.0,1.975
65,DNAJC12,1.0,1.774
66,DSC1,1.0,3.302
67,DSC2,1.0,3.883
68,DUSP26,1.0,3.472
69,E2F8,1.0,2.807
70,EDAR,1.0,3.954
71,ENPP1,1.0,3.375
