rank,gene,importance,recursion_depth
1,ABCA3,1.0,4.000
2,ABCB5,1.0,4.000
3,ACAN,1.0,4.000
4,ADAM12,1.0,4.000
5,ADAM23,1.0,4.000
6,ADAM6,1.0,4.000
7,ADCY1,1.0,4.000
8,ADRB2,1.0,4.000
9,AKR1C1,1.0,4.000
10,ALDH3B1,1.0,4.000
11,ALOX15,1.0,4.000
12,ALPP,1.0,4.000
13,ANKRD22,1.0,4.000
14,ANKRD35,1.0,4.000
15,ANKS1B,1.0,4.000
16,APOBEC3A,1.0,4.000
17,ASPN,1.0,4.000
18,ATP12A,1.0,4.000
19,ATP13A4,1.0,4.000
20,ATP1A2,1.0,4.000
21,AURKB,1.0,4.000
22,BRDT,1.0,4.000
23,BRSK1,1.0,4.000
24,BST2,1.0,4.000
25,C10orf90,1.0,4.000
26,C10orf93,1.0,4.000
27,C19orf21,1.0,4.000
28,C1orf186,1.0,4.000
29,C1orf87,1.0,4.000
30,C20orf56,1.0,4.000
31,C21orf125,1.0,4.000
32,C4BPA,1.0,4.000
33,C6,1.0,4.000
34,C9orf135,1.0,4.000
35,CACNA1I,1.0,4.000
36,CBLN4,1.0,4.000
37,CCDC158,1.0,4.000
38,CCDC17,1.0,4.000
39,CD109,1.0,4.000
40,CDA,1.0,4.000
41,CDC45,1.0,4.000
42,CDH17,1.0,4.000
43,CDKL2,1.0,4.000
44,CFTR,1.0,4.000
45,CHN2,1.0,4.000
46,CHST9,1.0,4.000
47,CLCA2,1.0,4.000
48,CLDN1,1.0,4.000
49,CLEC10A,1.0,4.000
50,CNFN,1.0,4.000
51,COCH,1.0,4.000
52,COL1A2,1.0,4.000
53,CORIN,1.0,4.000
54,CSF3R,1.0,4.000
55,CSTA,1.0,4.000
56,CXCL1,1.0,4.000
57,CXCL12,1.0,4.000
58,CXCR3,1.0,4.000
59,CYP27C1,1.0,4.000
60,DBC1,1.0,4.000
61,DCX,1.0,4.000
62,DEPDC6,1.0,4.000
63,DHRS9,1.0,4.000
64,DMBT1,1.0,4.000
65,DMRT1,1.0,4.000
66,DNAH17,1.0,4.000
67,DNALI1,1.0,4.000
68,DOC2A,1.0,4.000
69,DPEP1,1.0,4.000
70,DUSP26,1.0,4.000
71,DYDC2,1.0,4.000
72,DYNC1I1,1.0,4.000
73,EFHD1,1.0,4.000
74,EPHX4,1.0,4.000
75,EXTL1,1.0,4.000
76,FAM129C,1.0,4.000
77,FGF2,1.0,4.000
78,FMO1,1.0,4.000
79,FREM2,1.0,4.000
80,FRMD5,1.0,4.000
81,FXYD2,1.0,4.000
82,GGH,1.0,4.000
83,GJB5,1.0,4.000
84,GPR39,1.0,4.000
85,GREB1L,1.0,4.000
86,GRIA2,1.0,4.000
87,GRID1,1.0,4.000
88,GRIN3B,1.0,4.000
89,GRM4,1.0,4.000
90,GRPR,1.0,4.000
91,GSDMA,1.0,4.000
92,GSTT1,1.0,4.000
