rank,gene,importance,recursion_depth
1,PAX3,0.0,
2,PAK3,0.0,
3,PAK7,0.0,
4,PALM3,0.0,
5,PANX2,0.0,
6,PAPL,0.0,
7,PAPPA2,0.0,
8,PAPSS2,0.0,
9,PAQR5,0.0,
10,PAR-SN,0.0,
11,PAR5,0.0,
12,PARM1,0.0,
13,PARP15,0.0,
14,PART1,0.0,
15,PAX1,0.0,
16,PAX2,0.0,
17,PAH,0.0,
18,PAX5,0.0,
19,PAX7,0.0,
20,PAX8,0.0,
21,PAX9,0.0,
22,PBK,0.0,
23,PBX1,0.0,4.000
24,PCBP3,0.0,
25,PCDH10,0.0,
26,PCDH11X,0.0,
27,PCDH19,0.0,
28,PCDH20,0.0,
29,PCDH7,0.0,
30,PCDH8,0.0,
31,PCDH9,0.0,
32,PCDHA1,0.0,
33,OXGR1,0.0,
34,OMD,0.0,
35,ONECUT2,0.0,
36,OPCML,0.0,
37,OPRK1,0.0,
38,OR2W3,0.0,
39,ORC1L,0.0,
40,ORM1,0.0,4.000
41,ORM2,0.0,4.000
42,OSGIN1,0.0,
43,OSR1,0.0,
44,OSR2,0.0,
45,OTOP3,0.0,
46,OTOS,0.0,
47,OTX1,0.0,
48,OVOL1,0.0,
49,PCDHA10,0.0,
50,OXTR,0.0,
51,P2RX1,0.0,
52,P2RX2,0.0,
53,P2RY1,0.0,
54,P2RY10,0.0,
55,P2RY11,0.0,
56,P2RY12,0.0,
57,PACRG,0.0,
58,PACSIN1,0.0,
59,PADI1,0.0,
60,PADI2,0.0,
61,PADI3,0.0,
62,PAEP,0.0,
63,PAGE2,0.0,4.000
64,PDE6B,0.0,
65,PCP4L1,0.0,
66,PCSK1,0.0,
67,PCSK1N,0.0,
68,PCSK2,0.0,
69,PCSK6,0.0,
70,PCSK9,0.0,
71,PCYT1B,0.0,
72,PDCD1,0.0,
73,PDE11A,0.0,4.000
74,PDE1A,0.0,
75,PDE1C,0.0,
76,PDE3A,0.0,
77,PDE3B,0.0,4.000
78,PDE4C,0.0,4.000
79,PDE5A,0.0,
80,PCP4,0.0,
81,PDE8B,0.0,
82,PDE9A,0.0,
83,PDGFD,0.0,
84,PDGFRA,0.0,
85,PDGFRL,0.0,
86,PDIA2,0.0,
87,PDK4,0.0,4.000
88,PDLIM4,0.0,
89,PDPN,0.0,
90,PDX1,0.0,
91,PDZK1,0.0,
92,PDZK1IP1,0.0,
93,PDZRN3,0.0,
94,PDZRN4,0.0,
95,PCDHB8,0.0,
96,PCDHA11,0.0,
97,PCDHA12,0.0,
98,PCDHA13,0.0,
99,PCDHA2,0.0,
100,PCDHA3,0.0,
101,PCDHA4,0.0,4.000
102,PCDHA5,0.0,
103,PCDHA6,0.0,
104,PCDHA7,0.0,
105,PCDHAC1,0.0,4.000
106,PCDHAC2,0.0,
107,PCDHB11,0.0,
108,PCDHB2,0.0,
109,PCDHB5,0.0,
110,PCDHB6,0.0,
111,OLR1,0.0,4.000
112,PCDHGA10,0.0,
113,PCDHGA2,0.0,
114,PCDHGA7,0.0,
115,PCDHGB1,0.0,
116,PCDHGB2,0.0,
117,PCDHGB4,0.0,
118,PCDHGB5,0.0,
119,PCDHGB7,0.0,
120,PCDHGC5,0.0,
121,PCDP1,0.0,
122,PCK1,0.0,
123,PCLO,0.0,
124,PCOLCE2,0.0,
125,PCP2,0.0,
126,NNMT,0.0,
127,NKX3-1,0.0,
128,NKX3-2,0.0,
129,NKX6-1,0.0,
130,NLGN1,0.0,
131,NLGN4X,0.0,
132,NLGN4Y,0.0,
133,NLRP2,0.0,
134,NLRP5,0.0,
135,NLRP7,0.0,
136,NMB,0.0,
137,NME5,0.0,
138,NMNAT2,0.0,
139,NMU,0.0,
140,NMUR1,0.0,
141,NNAT,0.0,
142,NKX2-8,0.0,
143,NOD2,0.0,
144,NOG,0.0,
145,NOL4,0.0,
146,NOS1,0.0,
147,NOS2,0.0,
148,NOSTRIN,0.0,
149,NOTUM,0.0,
150,NOVA1,0.0,
151,NOX5,0.0,
152,NPAS3,0.0,
153,NPBWR1,0.0,
154,NPC1L1,0.0,
155,NPFFR2,0.0,
156,NPM2,0.0,
157,NPNT,0.0,
158,NGFR,0.0,
159,NEIL3,0.0,
160,NEK10,0.0,
161,NEK2,0.0,
162,NEK5,0.0,
163,NELL1,0.0,4.000
164,NELL2,0.0,4.000
165,NETO1,0.0,
166,NEU4,0.0,
167,NEURL,0.0,4.000
168,NEURL3,0.0,
169,NFASC,0.0,
170,NFATC2,0.0,
171,NFE2,0.0,
172,NGB,0.0,
173,NGEF,0.0,
174,NPR3,0.0,
175,NHLH2,0.0,
176,NHSL2,0.0,
177,NIPAL1,0.0,4.000
178,NIPAL4,0.0,
179,NKAIN1,0.0,
180,NKAIN2,0.0,
181,NKAIN4,0.0,
182,NKD2,0.0,
183,NKG7,0.0,
184,NKPD1,0.0,
185,NKX2-1,0.0,
186,NKX2-2,0.0,
187,NKX2-3,0.0,
188,NKX2-5,0.0,
189,OASL,0.0,
190,NTRK2,0.0,4.000
191,NTRK3,0.0,
192,NTS,0.0,
193,NTSR1,0.0,
194,NUDT10,0.0,
195,NUDT11,0.0,
196,NUF2,0.0,
197,NUSAP1,0.0,
198,NWD1,0.0,
199,NXF2,0.0,
200,NXF3,0.0,
