rank,gene,importance,recursion_depth
1,SFTPB,46.05720138549805,4.000
2,KRT6A,41.88294982910156,4.000
3,SFTPA1,35.37849426269531,4.000
4,TG,35.242984771728516,4.000
5,KRT5,34.8093147277832,4.000
6,KRT14,34.2136116027832,4.000
7,SFTPA2,33.40343475341797,4.000
8,KRT6B,32.59172439575195,4.000
9,KRT6C,31.56409454345703,4.000
10,KRT16,30.332799911499023,4.000
11,SFTPC,29.718278884887695,4.000
12,SPRR1B,29.546146392822266,4.000
13,DSG3,29.40134620666504,4.000
14,XIST,29.327913284301758,4.000
15,SCGB2A2,29.282588958740234,4.000
16,SFTA3,28.974613189697266,4.000
17,KRT13,28.430267333984375,4.000
18,NKX2-1,28.259723663330078,4.000
19,SPRR2A,27.955917358398438,4.000
20,RPS4Y1,27.732709884643555,4.000
21,CALML3,27.443130493164062,4.000
22,SPRR1A,26.03984260559082,4.000
23,AZGP1,26.030914306640625,4.000
24,S100A7,25.29083251953125,4.000
25,SPRR3,24.993419647216797,4.000
26,SPRR2D,24.5905704498291,4.000
27,PI3,24.326372146606445,4.000
28,NAPSA,24.2330322265625,4.000
29,FOXE1,24.178403854370117,4.000
30,SERPINB3,23.867366790771484,4.000
31,SLC34A2,23.849437713623047,4.000
32,CLCA2,23.51457977294922,4.000
33,LY6D,23.263559341430664,4.000
34,AKR1B10,23.099580764770508,4.000
35,SPRR2E,23.059722900390625,4.000
36,SCGB3A2,21.89904022216797,4.000
37,SBSN,21.879804611206055,4.000
38,A2ML1,21.688426971435547,4.000
39,SERPINB13,21.554264068603516,4.000
40,KRT17,21.22458267211914,4.000
41,TFF1,21.191415786743164,4.000
42,RHCG,21.134517669677734,4.000
43,CEACAM5,21.04981231689453,4.000
44,DDX3Y,20.7540225982666,4.000
45,SERPINB5,20.727067947387695,4.000
46,CTSE,20.581947326660156,4.000
47,PIP,20.534650802612305,4.000
48,IVL,20.441951751708984,4.000
49,MUC5B,20.39657974243164,4.000
50,CALML5,20.294702529907227,4.000
51,C4BPA,20.067596435546875,4.000
52,KCNJ16,19.864830017089844,4.000
53,PCSK2,19.536930084228516,4.000
