rank,gene,importance,recursion_depth
1,ABAT,1.0,2.839
2,ABO,1.0,1.765
3,ACADL,1.0,2.924
4,ACAN,1.0,1.994
5,ADAM28,1.0,2.761
6,ADRB1,1.0,3.226
7,AGPAT9,1.0,2.623
8,AKR1C1,1.0,3.315
9,AMPH,1.0,2.881
10,ANKRD45,1.0,3.539
11,ASPHD1,1.0,3.746
12,ASXL3,1.0,3.511
13,ATP8A1,1.0,1.180
14,BAALC,1.0,2.375
15,BBOX1,1.0,1.704
16,BEST3,1.0,2.489
17,BEX1,1.0,1.407
18,BMP2,1.0,2.581
19,BRIP1,1.0,3.897
20,C10orf79,1.0,2.514
21,C11orf70,1.0,3.702
22,C11orf87,1.0,3.547
23,C15orf48,1.0,2.805
24,C20orf26,1.0,2.801
25,C2orf62,1.0,3.501
26,C2orf72,1.0,2.124
27,C6,1.0,1.474
28,C8orf4,1.0,3.092
29,CARNS1,1.0,3.333
30,CCDC65,1.0,1.185
31,CCDC74B,1.0,2.231
32,CCDC85A,1.0,3.180
33,CDCA3,1.0,3.463
34,CDH16,1.0,2.681
35,CDK5R2,1.0,3.853
36,CECR7,1.0,3.176
37,CES4,1.0,1.788
38,CGN,1.0,1.191
39,CH25H,1.0,1.631
40,CHRM3,1.0,3.298
41,CHST2,1.0,1.444
42,CITED4,1.0,2.224
43,CKMT1B,1.0,1.606
44,CLDN16,1.0,3.528
45,CLDN2,1.0,3.696
46,CMYA5,1.0,2.283
47,COL1A2,1.0,2.138
48,COL23A1,1.0,1.732
49,COL4A4,1.0,2.537
50,COL6A3,1.0,3.338
51,CRHBP,1.0,3.489
52,CRHR1,1.0,3.298
53,CSF2,1.0,2.889
54,CXCL10,1.0,3.182
55,CYP11A1,1.0,1.730
56,CYP26B1,1.0,3.076
57,CYP2E1,1.0,1.371
58,CYP4B1,1.0,3.570
59,CYP4F22,1.0,3.564
60,DACH1,1.0,1.711
61,DCD,1.0,3.707
62,DCLK1,1.0,3.348
63,DCN,1.0,1.727
64,DCX,1.0,3.306
65,DEFB132,1.0,3.166
66,DEPDC6,1.0,3.449
67,DES,1.0,2.136
68,DGCR9,1.0,1.876
69,DIRAS3,1.0,1.841
70,DLX2,1.0,1.533
71,DNAH17,1.0,3.786
72,DOCK3,1.0,1.925
73,DSC3,1.0,2.816
74,DUOXA2,1.0,3.602
75,EGR3,1.0,3.610
76,ELFN2,1.0,2.342
77,EMILIN3,1.0,3.281
78,EPHA10,1.0,3.658
79,EPHA6,1.0,3.394
80,ERBB4,1.0,2.467
81,ESCO2,1.0,3.124
82,FAM133A,1.0,3.700
83,FGFBP2,1.0,3.793
84,FOSB,1.0,1.335
85,FOSL1,1.0,2.897
86,FOXG1,1.0,3.778
87,FSTL4,1.0,3.679
88,GABRG2,1.0,3.554
89,GAGE1,1.0,3.516
90,GFRA1,1.0,1.757
91,GGTLC1,1.0,3.656
92,GJB4,1.0,3.337
93,GLT25D2,1.0,3.166
94,GPC6,1.0,2.614
95,GPR81,1.0,2.686
96,GPR97,1.0,3.371
97,GRIN2A,1.0,1.417
98,GULP1,1.0,3.654
99,HABP2,1.0,3.101
100,HHIPL2,1.0,2.560
101,HMMR,1.0,3.927
102,HNF1B,1.0,1.799
103,HOXB2,1.0,3.478
104,HOXB6,1.0,3.019
105,IGFL1,1.0,3.446
106,IGJ,1.0,2.346
107,IGSF10,1.0,2.994
108,IL1RN,1.0,3.828
109,IL2RA,1.0,3.832
110,INPP4B,1.0,2.931
111,INPP5J,1.0,1.564
112,IQSEC3,1.0,3.788
113,ITGA11,1.0,2.878
114,ITGB6,1.0,3.597
115,ITK,1.0,2.308
116,ITLN1,1.0,1.841
117,KC6,1.0,2.000
118,KCNC2,1.0,3.501
119,KCNE4,1.0,3.214
120,KCNG1,1.0,1.820
121,KCNH8,1.0,1.912
122,KCNJ15,1.0,2.369
123,KCNMA1,1.0,1.281
124,KCNN4,1.0,2.996
125,KIAA1244,1.0,3.415
126,KLHL32,1.0,3.107
127,KLHL35,1.0,3.447
128,KRT2,1.0,3.717
129,KRT20,1.0,3.512
130,KRT7,1.0,1.876
131,LAMP3,1.0,1.811
132,LAX1,1.0,2.990
133,LEMD1,1.0,3.317
134,LGI3,1.0,2.182
135,LHX9,1.0,3.228
136,LOC100130238,1.0,2.633
137,LOC100216001,1.0,3.057
138,LOC134466,1.0,2.553
139,LOC643008,1.0,1.658
140,LOC723809,1.0,3.377
141,LOC728606,1.0,3.595
142,MAG,1.0,2.950
143,MAP2,1.0,3.922
144,MAPK10,1.0,1.277
145,MAT1A,1.0,1.694
146,MCM10,1.0,2.027
147,MEOX1,1.0,2.839
148,MEOX2,1.0,1.424
149,MEX3A,1.0,1.904
150,MGST1,1.0,3.390
151,MMP17,1.0,2.614
152,MOXD1,1.0,1.621
153,MRC1,1.0,2.635
154,MSC,1.0,3.742
155,MT1M,1.0,1.149
156,MYO7B,1.0,1.614
157,NCRNA00162,1.0,3.652
158,NEFH,1.0,3.855
159,NEURL3,1.0,1.933
160,NKAIN4,1.0,1.057
161,NKG7,1.0,3.124
162,NPY1R,1.0,2.505
163,NPY5R,1.0,3.358
164,NR3C2,1.0,2.910
165,NSUN7,1.0,3.568
166,OGN,1.0,2.208
167,OSR2,1.0,2.369
168,PAEP,1.0,2.985
169,PBK,1.0,3.128
170,PCDH9,1.0,3.631
