rank,gene,importance,recursion_depth
1,ACHE,1.0,1.623
2,ACTBL2,1.0,3.249
3,ACTN2,1.0,3.354
4,ADAM28,1.0,3.312
5,ADH1B,1.0,3.931
6,AKR1C2,1.0,3.893
7,ALDOC,1.0,2.076
8,ALK,1.0,3.011
9,ANKFN1,1.0,2.484
10,ANKRD30A,1.0,1.855
11,ANKRD45,1.0,3.929
12,ANXA8,1.0,4.000
13,ARMC4,1.0,1.402
14,ATP13A4,1.0,1.860
15,AURKA,1.0,3.761
16,AZGP1,1.0,2.308
17,B3GALT2,1.0,3.398
18,C10orf82,1.0,2.440
19,C11orf87,1.0,1.983
20,C12orf56,1.0,1.845
21,C14orf34,1.0,2.990
22,C16orf73,1.0,2.396
23,C18orf2,1.0,2.589
24,C1orf114,1.0,2.878
25,C1orf115,1.0,2.277
26,C2CD4C,1.0,3.293
27,C2orf89,1.0,1.910
28,C5orf49,1.0,3.096
29,C6orf118,1.0,2.138
30,C6orf165,1.0,2.908
31,C6orf97,1.0,3.985
32,CA9,1.0,2.335
33,CACNA1B,1.0,3.394
34,CACNA1I,1.0,3.767
35,CACNA1S,1.0,3.476
36,CALCA,1.0,1.000
37,CCDC160,1.0,3.365
38,CCL23,1.0,1.591
39,CCNO,1.0,2.120
40,CD163L1,1.0,3.224
41,CD209,1.0,3.832
42,CD3D,1.0,3.866
43,CDC20,1.0,2.403
44,CDC25C,1.0,1.830
45,CDH26,1.0,3.966
46,CHP2,1.0,3.598
47,CHRNA1,1.0,1.170
48,CKMT1A,1.0,1.629
49,CLDN5,1.0,1.465
50,CLUL1,1.0,2.168
51,CNN1,1.0,2.790
52,COL21A1,1.0,3.293
53,COL7A1,1.0,3.287
54,CPS1,1.0,3.920
55,CREB3L4,1.0,1.597
56,CRLF1,1.0,2.920
57,CSF2,1.0,3.218
58,CTSG,1.0,2.686
59,CYP21A2,1.0,1.669
60,CYP4F3,1.0,3.063
61,CYP4F8,1.0,2.549
62,DCC,1.0,3.403
63,DDC,1.0,3.662
64,DEGS2,1.0,1.922
65,DEPDC7,1.0,3.080
66,DERL3,1.0,1.407
67,DLK1,1.0,1.000
68,DMRT2,1.0,1.503
69,DNAH2,1.0,2.669
70,DNAH7,1.0,3.841
71,DNAJC22,1.0,1.753
72,DPY19L2,1.0,3.723
73,DYSFIP1,1.0,3.105
74,ECM1,1.0,1.945
75,EDNRB,1.0,3.459
76,EFCAB6,1.0,3.526
77,EFHB,1.0,1.503
78,ELAVL2,1.0,2.365
79,ENAM,1.0,2.522
80,ENPP3,1.0,2.105
81,EPHA8,1.0,1.380
82,EPR1,1.0,3.075
83,EPS8L3,1.0,2.333
84,EVPLL,1.0,1.113
85,F3,1.0,2.784
86,FA2H,1.0,2.887
87,FAM101A,1.0,3.254
88,FAM5C,1.0,3.673
89,FAM83A,1.0,2.436
90,FCN3,1.0,3.361
91,FGA,1.0,3.918
92,FMO5,1.0,3.048
93,GALNTL2,1.0,2.075
94,GBP6,1.0,3.641
95,GCNT3,1.0,2.950
96,GDA,1.0,2.424
97,GDF1,1.0,3.642
98,GGT3P,1.0,1.646
99,GLB1L2,1.0,3.520
100,GLDC,1.0,2.943
101,GLOD5,1.0,3.641
102,GPX2,1.0,3.541
103,GRIK2,1.0,3.606
104,GSDMA,1.0,3.667
105,GTF2H2B,1.0,1.228
106,GZMM,1.0,1.509
107,HAS2,1.0,2.621
108,HHIPL2,1.0,1.036
109,HLA-DQB2,1.0,1.805
110,HLA-DRB6,1.0,3.663
111,HMP19,1.0,1.042
112,HOXA9,1.0,3.023
113,HOXC4,1.0,3.977
114,HS3ST3A1,1.0,3.855
115,HSD11B1,1.0,3.644
116,IGF2BP3,1.0,1.403
117,IGSF9,1.0,1.264
118,IL17RB,1.0,1.235
119,IL31RA,1.0,2.446
120,IL6,1.0,1.902
121,IQGAP2,1.0,2.474
122,ISG15,1.0,2.551
123,ISM2,1.0,1.579
124,KCNC2,1.0,3.029
125,KCNF1,1.0,3.633
126,KLC3,1.0,3.792
127,KLK2,1.0,1.013
128,KLK8,1.0,3.369
129,KPRP,1.0,3.438
130,KRT6A,1.0,3.329
131,KRT6C,1.0,2.859
132,KRT74,1.0,1.004
133,KRT77,1.0,1.690
134,KRT80,1.0,2.092
135,KSR2,1.0,3.950
136,LOC100132354,1.0,3.767
137,LOC121838,1.0,2.279
138,LOC149620,1.0,3.388
139,LOC162632,1.0,1.994
140,LOC283867,1.0,3.946
141,LOC285629,1.0,3.432
142,LOC728606,1.0,1.673
143,LOC84740,1.0,2.197
144,MAB21L2,1.0,3.235
145,MAGEA6,1.0,3.931
146,MAOB,1.0,1.627
147,MAPK4,1.0,3.597
148,MFSD4,1.0,1.210
149,MLC1,1.0,3.075
150,MRAP2,1.0,3.652
151,MRGPRX3,1.0,3.908
152,MT1A,1.0,3.943
153,MT1G,1.0,3.832
154,MUC5B,1.0,3.637
155,MYBPH,1.0,3.434
156,MYH14,1.0,3.992
157,MYOZ3,1.0,3.526
158,NCAPH,1.0,1.426
159,NCCRP1,1.0,3.124
160,NKAIN4,1.0,3.623
161,NOG,1.0,3.298
162,NOS1,1.0,1.623
163,NPW,1.0,2.302
164,NR3C2,1.0,3.685
165,NSUN7,1.0,1.059
166,NTNG1,1.0,3.698
167,NTRK2,1.0,2.952
168,NXPH3,1.0,1.082
169,OLFM1,1.0,2.222
170,ORM2,1.0,3.660
171,PACSIN1,1.0,1.088
172,PARM1,1.0,3.916
173,PARP15,1.0,1.554
174,PCDH8,1.0,2.308
175,PCDHA12,1.0,3.989
176,PCDHA6,1.0,3.212
177,PCDHGB1,1.0,2.556
178,PDE4C,1.0,1.017
179,PDIA2,1.0,1.059
180,PDK4,1.0,1.004
181,PDLIM4,1.0,2.966
182,PEBP4,1.0,3.279
183,PGC,1.0,1.927
184,PI15,1.0,3.073
185,PIGR,1.0,3.751
186,PIK3C2G,1.0,1.862
187,PKMYT1,1.0,3.992
188,PLA2G4F,1.0,3.706
189,PLAG1,1.0,3.296
190,PLEKHN1,1.0,3.140
191,PLXNC1,1.0,2.105
192,PNMA6A,1.0,2.683
193,POU2AF1,1.0,3.832
194,PPP1R1B,1.0,1.881
195,PRKG1,1.0,3.300
196,PRSS21,1.0,2.870
197,PTGIS,1.0,2.650
198,PTPRZ1,1.0,1.943
199,PYHIN1,1.0,2.400
200,PYY2,1.0,3.285
